Uitrekking (mm);Kracht (N)
0.112913;21863.6
0.114038;21923.3
0.113325;21983.8
0.114525;22044.6
0.114413;22105.6
0.115388;22165.8
0.11565;22226
0.115838;22285.6
0.116363;22345
0.116513;22404.1
0.117075;22463.7
0.117263;22523.2
0.117713;22583.4
0.1185;22643.1
0.118538;22702.8
0.119063;22761.5
0.119363;22820.4
0.119888;22878.2
0.120413;22936.4
0.120638;22994
0.121163;23052.1
0.121425;23109.6
0.121988;23167.8
0.122775;23224.7
0.122588;23282.3
0.12375;23338.3
0.123638;23394.4
0.124763;23449.7
0.124613;23506.1
0.125475;23560.6
0.125663;23616.3
0.126488;23671.3
0.126563;23726.9
0.127088;23781
0.1272;23836.4
0.128175;23890.1
0.127988;23944.8
0.12885;23997.7
0.128588;24052
0.129525;24104.9
0.129038;24160.5
0.130013;24214.9
0.1293;24270.5
0.130538;24323.4
0.130163;24377
0.131475;24427.3
0.130763;24477.9
0.131513;24526.8
0.130838;24576.5
0.1317;24624.4
0.131213;24672.8
0.131963;24720
0.131813;24767.8
0.13275;24814.1
0.132863;24860.4
0.13305;24906.1
0.132863;24951.9
0.133275;24996.6
0.133388;25042.1
0.133613;25087.7
0.13395;25134.6
0.134325;25180.9
0.134513;25228
0.134625;25274.1
0.134738;25320.6
0.134963;25365.7
0.134775;25411.6
0.135563;25457
0.135938;25503.2
0.136463;25548.9
0.136125;25595.9
0.136463;25641.9
0.137025;25688
0.136875;25732.6
0.137513;25777.3
0.1374;25820
0.138488;25862.6
0.138;25904.2
0.138638;25946.5
0.138075;25987.4
0.138825;26029.2
0.138375;26070.2
0.138975;26110.4
0.1389;26149.4
0.139163;26188.9
0.1392;26228
0.138975;26267.2
0.139238;26305.8
0.1395;26343.9
0.140025;26381.5
0.140625;26418.6
0.14055;26454.4
0.140813;26488.7
0.14055;26522.1
0.140813;26553.7
0.140588;26584.6
0.141263;26616
0.141525;26648.9
0.141975;26683.3
0.141863;26719
0.141938;26754.5
0.141938;26789.8
0.142163;26823.7
0.142538;26856.7
0.142763;26888.9
0.142613;26921.3
0.1431;26952.7
0.14295;26984.8
0.143475;27016.6
0.142913;27048.6
0.143625;27079
0.143288;27109.5
0.143775;27138.7
0.143363;27167.9
0.143438;27195.6
0.14355;27223.9
0.144375;27250.6
0.1437;27277.2
0.144375;27302.6
0.143513;27328.2
0.143438;27351.9
0.1437;27376.1
0.1443;27398.1
0.143963;27420.2
0.144825;27440.9
0.143363;27461.9
0.143963;27481.4
0.143663;27502.7
0.144;27522.6
0.144113;27541.8
0.144563;27558.1
0.143663;27574
0.143813;27587.3
0.143738;27600.6
0.144225;27613.1
0.143588;27627.1
0.143963;27640.8
0.1434;27656.6
0.14325;27672.1
0.142988;27688.1
0.143513;27702.9
0.143138;27717.5
0.142988;27730.1
0.143063;27742.7
0.142838;27754.1
0.14265;27766.1
0.142725;27777.6
0.14265;27791
0.142425;27803.2
0.1422;27816.3
0.14235;27828.3
0.142463;27841
0.142238;27850.1
0.14175;27859.1
0.141675;27865.9
0.141488;27873.6
0.141788;27880
0.14145;27889.3
0.141375;27898.2
0.141263;27909.2
0.141338;27919.4
0.14115;27930.8
0.141113;27940.7
0.141113;27951.9
0.141113;27962.5
0.140888;27974.1
0.1407;27984.7
0.141038;27996.9
0.141038;28007.7
0.14085;28018.9
0.140588;28029.8
0.1404;28041.9
0.140775;28053.6
0.140925;28067
0.140775;28080.7
0.140475;28094.8
0.14055;28108.7
0.140625;28122.7
0.141;28135.2
0.141038;28147.3
0.140663;28159.5
0.140738;28171
0.140588;28181.7
0.141225;28192.8
0.141;28203.8
0.140963;28214.9
0.140588;28226.5
0.140738;28238.2
0.140888;28249.6
0.141113;28261.2
0.140513;28272.6
0.140813;28283.9
0.140363;28295.3
0.14085;28306.9
0.140738;28319.3
0.141;28331.6
0.140513;28343.3
0.140813;28354
0.14055;28364.4
0.141375;28373.6
0.140738;28382.7
0.141038;28391.5
0.140625;28400.8
0.140888;28409.6
0.1407;28419.2
0.14115;28428.6
0.140663;28438.7
0.140925;28447.4
0.140588;28456
0.141075;28462.8
0.140775;28469
0.140925;28472.9
0.140738;28476.4
0.140925;28478.1
0.140663;28479.4
0.141225;28479.7
0.1407;28480.3
0.140775;28479.9
0.1407;28481.1
0.14055;28481.1
0.140475;28480.9
0.140813;28479.5
0.140663;28479.7
0.140738;28479.5
0.140213;28481.6
0.140625;28482.6
0.141;28484.9
0.141;28485.5
0.140438;28485.9
0.140438;28483.7
0.140363;28482.7
0.141;28479.4
0.14055;28478
0.140663;28476.4
0.140475;28478
0.1407;28479.2
0.14085;28483.3
0.141263;28486.8
0.140588;28492.6
0.140925;28497.6
0.140475;28505.2
0.141413;28513
0.140925;28524.3
0.141075;28536.9
0.140588;28552.4
0.14085;28567.7
0.140775;28585.1
0.1413;28602.4
0.14085;28620.4
0.140963;28636.7
0.140888;28653.3
0.140925;28667.7
0.140775;28680.3
0.14115;28689.6
0.141488;28697.3
0.141638;28702.7
0.141;28708.3
0.140738;28713.6
0.140813;28719.6
0.141075;28725.2
0.14085;28732.2
0.140475;28739.2
0.14055;28748
0.140213;28757.5
0.140475;28768.4
0.140475;28778.4
