Tijd (s);Hoogte (m)
206.6;156.0592189
206.8;154.4902147
207;152.9187589
207.2;151.3456599
207.4;149.7717768
207.6;148.1979801
207.8;146.6251123
208;145.0539504
208.2;143.485173
208.4;141.9193316
208.6;140.35683
208.8;138.7979101
209;137.2426465
209.2;135.6909492
209.4;134.142574
209.6;132.5971406
209.8;131.0541563
210;129.5130449
210.2;127.9731787
210.4;126.4339118
210.6;124.8946138
210.8;123.3547006
211;121.8136624
211.2;120.2710869
211.4;118.7266755
211.6;117.1802541
211.8;115.6317756
212;114.0813166
212.2;112.5290663
212.4;110.9753099
212.6;109.4204076
212.8;107.8647693
213;106.3088278
213.2;104.753011
213.4;103.1977161
213.6;101.6432849
213.8;100.0899848
214;98.53799304
214.2;96.98738797
214.4;95.43814597
214.6;93.89014481
214.8;92.34317315
215;90.79694539
215.2;89.25112107
215.4;87.70532771
215.6;86.15918544
215.8;84.61233229
216;83.06444837
216.2;81.51527754
216.4;79.9646453
216.6;78.41247183
216.8;76.85877914
217;75.30369208
217.2;73.74743292
217.4;72.19030974
217.6;70.63269915
217.8;69.07502442
218;67.51772996
218.2;65.96125374
218.4;64.40599912
218.6;62.85230765
218.8;61.30043456
219;59.75052822
219.2;58.20261497
219.4;56.65659026
219.6;55.11221677
219.8;53.56912978
220;52.02684984
220.2;50.48480204
220.4;48.94234119
220.6;47.39878178
220.8;45.85343101
221;44.30562359
221.2;42.75475621
221.4;41.20032018
221.6;39.64193025
221.8;38.07934828
222;36.51250027
222.2;34.94148589
222.4;33.36657971
222.6;31.78822407
222.8;30.20701369
223;28.62367261
223.2;27.03902461
223.4;25.45395825
223.6;23.86938837
223.8;22.28621573
224;20.70528677
224.2;19.12735547
224.4;17.55304915
224.6;15.98283981
224.8;14.41702263
225;12.8557024
225.2;11.29878892
225.4;9.746001266
225.6;8.196881058
225.8;7.202678977
226;6.410788033
226.2;6.020373424
226.4;5.830546041
226.6;5.640403421
226.8;5.649071025
227;5.655741886
227.2;5.659712719
227.4;5.66041479
227.6;5.65743811
227.8;5.650547836
228;5.639692187
228.2;5.625001571
228.4;5.606779074
228.6;5.585482888
228.8;5.561701648
229;5.53612397
229.2;5.509503782
229.4;5.482623217
229.6;5.456254928
229.8;5.431125702
230;5.407883152
230.2;5.387067081
230.4;5.36908686
230.6;5.354205824
230.8;5.342533323
231;5.334024676
231.2;5.328488834
231.4;5.325603199
231.6;5.32493467
231.8;5.325965674
232;5.328123727
232.2;5.330812883
232.4;5.333445385
232.6;5.335471843
232.8;5.336408364
233;5.335859286
233.2;5.333534379
233.4;5.329259741
233.6;5.32298195
233.8;5.314765415
234;5.304783238
234.2;5.293302267
234.4;5.280663301
234.6;5.267257708
234.8;5.253501849
235;5.239810845
235.2;5.226573222
235.4;5.214127913
235.6;5.202744922
235.8;5.19261077
236;5.183819533
236.2;5.176369948
236.4;5.170168748
236.6;5.165039968
236.8;5.160739675
237;5.156975209
237.2;5.153427794
237.4;5.149777151
237.6;5.145726631
237.8;5.141027355
238;5.135499853
238.2;5.12905188
238.4;5.121691234
238.6;5.113532716
238.8;5.104798657
239;5.09581284
239.2;5.086987969
239.4;5.078807227
239.6;5.071800833
239.8;5.066518738
240;5.063500914
240.2;5.063246794
240.4;5.066185536
240.6;5.072648748
240.8;5.082847239
241;5.096853148
241.2;5.114588566
241.4;5.135821434
241.6;5.160169118
241.8;5.187109703
242;5.216000589
242.2;5.246103638
242.4;5.27661573
242.6;5.306703303
242.8;5.335539223
243;5.362340174
243.2;5.386402716
243.4;5.407136186
243.6;5.424090767
243.8;5.436979256
244;5.445691366
244.2;5.450299776
244.4;5.451057502
244.6;5.448386655
244.8;5.44285902
245;5.435169347
245.2;5.426102586
245.4;5.416496623
245.6;5.407202298
245.8;5.399042632
246;5.392773245
246.2;5.389045885
246.4;5.388376852
246.6;5.391121857
246.8;5.39745855
247;5.407377561
247.2;5.420682502
247.4;5.436998913
247.6;5.455791714
247.8;5.476390303
248;5.498020059
248.2;5.519838717
248.4;5.540975818
248.6;5.560573339
248.8;5.577825511
249;5.592015931
249.2;5.602550189
249.4;5.608982476
249.6;5.611034963
249.8;5.608609079
250;5.601788265
250.2;5.590832162
250.4;5.576162663
250.6;5.558342619
250.8;5.538048366
251;5.516037533
251.2;5.493113778
251.4;5.470090277
251.6;5.447753764
251.8;5.426830912
252;5.407958667
252.2;5.391659913
252.4;5.378325575
252.6;5.368203869
252.8;5.361397075
253;5.357865761
253.2;5.357440036
253.4;5.359837028
253.6;5.364683469
253.8;5.371542041
254;5.379939932
254.2;5.389397992
254.4;5.39945886
254.6;5.40971253
254.8;5.419817994
255;5.429519837
255.2;5.438658963
255.4;5.447176975
255.6;5.455114101
255.8;5.462600903
256;5.469844399
256.2;5.477109488
256.4;5.484696882
256.6;5.492918898
256.8;5.502074602
257;5.512425821
257.2;5.524175482
257.4;5.537449596
257.6;5.552284015
257.8;5.568616777
258;5.586286568
258.2;5.605037457
258.4;5.624529708
258.6;5.64435611
258.8;5.664062948
259;5.683174469
259.2;5.701219465
259.4;5.717758467
259.6;5.732409994
259.8;5.744874319
260;5.75495333
260.2;5.76256528
260.4;5.76775345
260.6;5.770688105
260.8;5.77166147
261;5.771075823
261.2;5.769425194
261.4;5.767271517
261.6;5.765216398
261.8;5.763869905
262;5.763818008
262.2;5.765590361
262.4;5.769630155
262.6;5.776267696
262.8;5.785699168
263;5.797971827
263.2;5.812976538
263.4;5.830448202
263.6;5.849974222
263.8;5.871010744
264;5.892906
264.2;5.914929703
264.4;5.936307128
264.6;5.956256241
264.8;5.974026068
265;5.98893441
265.2;6.000403005
265.4;6.007988368
265.6;6.011406702
265.8;6.010551591
266;6.005503492
266.2;5.996530482
266.4;5.984080104
266.6;5.968762634
266.8;5.95132648
267;5.932626852
267.2;5.913589138
267.4;5.895168735
267.6;5.878309212
267.8;5.863900807
