Kracht (N);Uitrekking (mm)
3131.2;0.974
3133.4;0.976
3136.067;0.977
3138.533;0.978
3140.2;0.979
3142.333;0.98
3144.067;0.982
3146.8;0.983
3148.667;0.984
3150;0.985
3152.133;0.987
3153.933;0.988
3156.4;0.989
3158.333;0.99
3159.467;0.991
3160.733;0.993
3162.467;0.994
3164;0.995
3165.6;0.996
3167;0.998
3169.333;0.999
3171.2;1
3172.533;1.001
3174.133;1.002
3176.667;1.004
3178.667;1.005
3180.6;1.006
3181.933;1.007
3183.4;1.009
3184.333;1.01
3185.333;1.011
3186.867;1.012
3188.333;1.013
3189.867;1.015
3190.667;1.016
3192.267;1.017
3193.6;1.018
3194.733;1.02
3195.533;1.021
3196.333;1.022
3198;1.023
3198.733;1.024
3200;1.026
3201.4;1.027
3202.867;1.028
3204.067;1.029
3204.533;1.031
3206.267;1.032
3207.333;1.033
3209.733;1.034
3210.467;1.036
3212.267;1.037
3213.533;1.038
3213.867;1.039
3215.733;1.04
3216.533;1.042
3218.533;1.043
3220.267;1.044
3221.867;1.045
3223.467;1.046
3224.467;1.048
3225.533;1.049
3226.6;1.05
3227.867;1.051
3229.667;1.053
3231.933;1.054
3233.8;1.055
3234.867;1.056
3236.6;1.058
3239.2;1.059
3240.133;1.06
3241.867;1.061
3243.467;1.063
3245.267;1.064
3246.467;1.065
3248.267;1.066
3249.6;1.067
3250.533;1.069
3253.067;1.07
3253.533;1.071
3254.333;1.072
3256.867;1.074
3259.067;1.075
3260.867;1.076
3261.533;1.077
3262.933;1.078
3264.933;1.08
3267.2;1.081
3267.533;1.082
3270;1.083
3273.067;1.085
3273.6;1.086
3275.067;1.087
3277.2;1.088
3279.133;1.09
3280.2;1.091
3282.067;1.092
3283.867;1.093
3284.867;1.094
3286.8;1.096
3288.267;1.097
3290.067;1.098
3291.867;1.099
3293.933;1.101
3296;1.102
3297.867;1.103
3300.133;1.104
3302.8;1.105
3304.733;1.107
3306.533;1.108
3308.467;1.109
3310.733;1.11
3312.733;1.112
3314.267;1.113
3316.267;1.114
3317.933;1.115
3320.2;1.117
3321.2;1.118
3323.067;1.119
3325.733;1.12
3327.133;1.121
3328.667;1.123
3330;1.124
3332.267;1.125
3334.067;1.126
3335.333;1.128
3336.6;1.129
3338.467;1.13
3339.4;1.131
3340.8;1.133
3342.867;1.134
3344.8;1.135
3345.333;1.136
3346.2;1.137
3347.533;1.139
3349.8;1.14
3351.533;1.141
3352.533;1.142
3354.2;1.144
3356.467;1.145
3358.267;1.146
3359.8;1.147
3362.267;1.149
3363.533;1.15
3365.6;1.151
3367.067;1.152
3368.533;1.153
3370.867;1.155
3373.067;1.156
3374.867;1.157
3377.067;1.158
3378.867;1.16
3380.333;1.161
3382.733;1.162
3385.467;1.163
3388.733;1.165
3390.867;1.166
3392.467;1.167
3395.6;1.168
3399.733;1.169
3403.267;1.171
3405.733;1.172
3410.4;1.173
3414.667;1.174
3418.133;1.176
3422.8;1.177
3427.733;1.178
3431.2;1.179
3435.467;1.181
3438.867;1.182
3442.667;1.183
3445.467;1.184
3450.8;1.186
3454.667;1.187
3457.933;1.188
3462.6;1.189
3467.867;1.19
3472;1.192
3478.267;1.193
3484.533;1.194
3489;1.195
3493.8;1.197
3499.6;1.198
3503.533;1.199
3507.667;1.2
3514.6;1.201
3520.467;1.203
3523.267;1.204
3527.4;1.205
3533;1.206
3537.933;1.208
3541;1.209
3544.933;1.21
3551.533;1.211
3556.8;1.213
3560.8;1.214
3567.2;1.215
3572.533;1.216
3579.667;1.218
3584.933;1.219
3591.6;1.22
3596.267;1.221
3603.6;1.222
3610.933;1.224
3616.6;1.225
3621.4;1.226
3627.8;1.227
3634.133;1.229
3638.867;1.23
3644.733;1.231
3651.533;1.232
3659.533;1.234
3664.6;1.235
3671.533;1.236
3676.6;1.237
3683.133;1.238
3689;1.24
3696;1.241
3701.4;1.242
3708.4;1.243
3713.333;1.245
3719.8;1.246
3724;1.247
3731.067;1.248
3737.933;1.25
3742.267;1.251
3747.333;1.252
3753.2;1.253
3759.333;1.255
3763.533;1.256
3768.667;1.257
3774.467;1.258
3780.467;1.259
3784.8;1.261
3789.2;1.262
3795.733;1.263
3802.267;1.264
3808.133;1.266
3812.867;1.267
3817.867;1.268
3821.867;1.269
3827.133;1.271
3832.6;1.272
3837;1.273
3840.667;1.274
3845.4;1.276
3850.133;1.277
3855.267;1.278
3858.4;1.279
3863.333;1.281
3867.933;1.282
3871.2;1.283
3875.6;1.284
3877.933;1.286
3881.067;1.287
3884.867;1.288
3888.533;1.289
3892.2;1.29
3894.467;1.292
3897.8;1.293
3900.267;1.294
3903.133;1.295
3906;1.297
3908.333;1.298
3910.733;1.299
3913.6;1.3
3917.267;1.302
3919.933;1.303
3922.067;1.304
3925.533;1.305
3928.067;1.306
3930.467;1.308
3933.133;1.309
3936.733;1.31
3939.467;1.311
3942.267;1.313
3945.133;1.314
3948.333;1.315
3952.067;1.316
3956.133;1.318
3958.8;1.319
3962.867;1.32
3966;1.321
3969.867;1.323
3972.733;1.324
3976.267;1.325
3979;1.326
3983.2;1.327
3986.4;1.329
3990.267;1.33
3994.8;1.331
3998.067;1.332
4001.733;1.334
4004.933;1.335
4007.067;1.336
4009.733;1.337
4013.8;1.339
4017.6;1.34
4020.6;1.341
4023.133;1.342
4026.667;1.343
4029.6;1.345
4033.267;1.346
4035.933;1.347
4040.267;1.349
4043.6;1.35
4046.2;1.351
4048.933;1.352
4052.2;1.354
4056.8;1.355
4059.533;1.356
4062.333;1.357
4065.933;1.358
4070;1.36
4073.467;1.361
4076.8;1.362
4080.667;1.363
4083.6;1.365
4087.533;1.366
4090.267;1.367
4094.533;1.368
4098.267;1.37
4102.667;1.371
4106.267;1.372
4109.6;1.373
4113.4;1.375
4116.2;1.376
4121.133;1.377
4126.267;1.378
4130.867;1.379
4133.067;1.381
4136.467;1.382
4139.8;1.383
4144.267;1.384
4147.8;1.386
4151.067;1.387
4154.333;1.388
4158.267;1.389
4161.867;1.391
4164.4;1.392
4167.467;1.393
4172.2;1.394
4176.2;1.396
4180.267;1.397
4184.333;1.398
4189.4;1.399
4192.133;1.401
4196.133;1.402
4199.467;1.403
4202.2;1.404
4206.2;1.405
4210.867;1.407
4214.6;1.408
4217.667;1.409
4221.2;1.41
4224.333;1.412
4227.533;1.413
4230.867;1.414
4235.8;1.415
4238.867;1.417
4242.4;1.418
4245.8;1.419
4250.533;1.42
4254.4;1.422
4257.333;1.423
4261.8;1.424
4266.733;1.425
4269.8;1.427
4272.933;1.428
4276.333;1.429
4280.333;1.43
4283.067;1.431
4286.533;1.433
4290.467;1.434
4295.6;1.435
4299.333;1.436
4303.8;1.438
4308.267;1.439
4311.067;1.44
4316.267;1.441
4319.667;1.443
4323.667;1.444
4327.067;1.445
4332.133;1.446
4336.8;1.448
4340;1.449
4344.333;1.45
4349;1.451
4353.067;1.453
4356.067;1.454
4360.667;1.455
4366.2;1.456
4368.8;1.457
4371.733;1.459
4375.333;1.46
4379.933;1.461
4383.2;1.462
4387.667;1.464
4390.733;1.465
4395.067;1.466
4398.133;1.467
4401.8;1.469
4404.333;1.47
4408.733;1.471
4412;1.472
4415.333;1.474
4418.067;1.475
4421.733;1.476
4426;1.477
4428.8;1.479
4431.533;1.48
4435.333;1.481
4439.4;1.482
4442.2;1.484
4445.133;1.485
4449.333;1.486
4453.8;1.487
4456.533;1.488
4459.6;1.49
4463.067;1.491
4468.067;1.492
4471.467;1.493
4474.8;1.495
4477.667;1.496
4482.4;1.497
4485.867;1.498
4489.867;1.5
4493.867;1.501
4497;1.502
4500.733;1.503
4505.333;1.505
4508.933;1.506
4511.733;1.507
4516.933;1.508
4521.267;1.51
4524.133;1.511
4528.6;1.512
4532.267;1.513
4537.733;1.515
4541;1.516
4545.867;1.517
4549.333;1.518
4552.867;1.52
4557.267;1.521
4560.067;1.522
4563.867;1.523
4567.467;1.524
4570.667;1.526
4574.333;1.527
4577.133;1.528
4582.4;1.529
4585.4;1.531
4589.533;1.532
4593.8;1.533
4597.2;1.534
4601.467;1.536
4605.867;1.537
4609;1.538
4611.867;1.539
4615.6;1.54
4620;1.542
4623.267;1.543
4627.533;1.544
4631.533;1.546
4635.067;1.547
4637.6;1.548
4641.067;1.549
4644.867;1.55
4647.467;1.552
4651.8;1.553
4655.467;1.554
4659.4;1.556
4662.4;1.557
4666.6;1.558
4670.133;1.559
4674.467;1.56
4677.6;1.562
4682.2;1.563
4685.4;1.564
4690;1.565
4693.733;1.567
4697.2;1.568
4700.067;1.569
4704.6;1.57
4707.4;1.572
4711.6;1.573
4714.933;1.574
4718.733;1.575
4722.867;1.577
4726.133;1.578
4728.867;1.579
4732.8;1.58
4737.6;1.582
4741.2;1.583
4744.6;1.584
4749.067;1.585
4752.867;1.587
4757.2;1.588
4761.533;1.589
4764.733;1.59
4769.267;1.592
4772.467;1.593
4777.4;1.594
4780.733;1.595
4783.533;1.597
4787.533;1.598
4791.867;1.599
4795.267;1.6
4797.533;1.601
4801.8;1.603
4806.2;1.604
4809.133;1.605
4812.067;1.606
4816.2;1.608
4821.133;1.609
4824.733;1.61
4828.6;1.611
4832.533;1.613
4835.667;1.614
4839.867;1.615
4842.933;1.616
4846.933;1.618
4849.933;1.619
4854.8;1.62
4858.933;1.621
4861.2;1.623
4864.6;1.624
4869.067;1.625
4872.8;1.626
4877.133;1.628
4879.667;1.629
4883.667;1.63
4886.667;1.631
4891.733;1.633
4895.8;1.634
4898.2;1.635
4902.2;1.636
4906.4;1.637
4909.667;1.639
4912.467;1.64
4917.267;1.641
4921.867;1.642
4924.667;1.644
4928.667;1.645
4933.2;1.646
4936.267;1.647
4939.933;1.649
4945.067;1.65
4948.4;1.651
4951;1.652
4955.467;1.654
4959.533;1.655
4962.533;1.656
4965.667;1.657
4969.667;1.659
4974.133;1.66
4976.8;1.661
4979.6;1.662
4983.8;1.664
4987.8;1.665
4992.333;1.666
4995.533;1.667
4998.933;1.669
5003.333;1.67
5006.667;1.671
5010.533;1.672
5014.533;1.674
5017.667;1.675
5020.733;1.676
5025;1.677
5029.067;1.679
5032.067;1.68
5034.733;1.681
5039.067;1.682
5043.067;1.683
5045.533;1.685
5049.8;1.686
5054.867;1.687
5059.133;1.688
5063.067;1.69
5066.733;1.691
5071.467;1.692
5074.8;1.693
5079;1.695
5083.8;1.696
5087.467;1.697
5091;1.698
5094.267;1.7
5098.4;1.701
5101.6;1.702
5105.533;1.703
5110.533;1.705
5114.267;1.706
5118.733;1.707
5122.733;1.708
5126;1.71
5128.933;1.711
5132.267;1.712
5136.533;1.713
5139.733;1.715
5143.733;1.716
5147.133;1.717
5152.6;1.718
5156.267;1.72
5159;1.721
5161.6;1.722
5165.333;1.723
5170.467;1.725
5173.733;1.726
5177.133;1.727
5180.8;1.728
5183.667;1.73
5187.267;1.731
5190;1.732
5194.2;1.733
5198.867;1.735
5202.4;1.736
5205.533;1.737
5210.2;1.738
5214.067;1.74
5217.933;1.741
5221.2;1.742
5225.2;1.743
5228.6;1.744
5232.733;1.746
